BASIC,BASIC CZ,,BASIC QUESTIONS,BASIC QUESTIONS CZ,,FOOD,FOOD CZ,0,COOKING,COOKING CZ,,SHOP/RESTAURANT,SHOP/RESTAURANT CZ,,SHOP/RESTAURANT QUESTIONS,SHOP/RESTAURANT QUESTIONS CZ,
Nice to meet you,Tìší mì ,0,How are you?,Jak se máš? ,0,beef ,hovìzí ,0,serve ,servírovat,0,we’re going to pay ,zaplatíme ,0,Can I order? ,Mùu si objednat? ,0
Hello,Dobrı den,0,What's your name?,Jak se jmenujete? ,0,pork ,vepøové ,0,mix ,míchat,0,together ,dohromady ,0,Would you like to order? ,Chcete si objednat? ,0
Hi,Ahoj,0,Where are you from?,Odkud jste? ,0,beef for the main course ,hovìzí jako hlavní chod ,0,"Mix with water, heat and stir ","Smíchat s vodou, ohøát a míchat ",0,separately ,zvláš ,0,Can I pay with a card? ,Mùu platit kartou? ,0
Good morning,Dobré ráno,0,Where is the bathroom?,Kde je záchod? ,0,pork roast ,vepøová peèenì ,0,chop ,krájet,0,water with ice ,vodu s ledem ,0,Can I pay in cash? ,Mùu platit hotovì? ,0
Good afternoon,Dobré odpoledne,0,May I sit here?,Mohu si zde sednout? ,0,stir-fry ,restovat ,0,chop vegetables ,krájet zeleninu ,0,I will have ,Dám si ,0,Do you have?,Máte?,0
Good evening,Dobrı veèer,0,Could you ,Mohl/mohla bys?,0,stir-fry vegetables ,restovat zeleninu ,0,mince ,krájet nadrobno ,0,I will take ,Vezmu si ,0,How much is this? ,Kolik to stojí? ,0
Good night,Dobrou noc,0,Is it possible to ,Je moné ,0,salt ,sùl,0,mince meat ,krájet maso nadrobno ,0,"No, thank you, I’m good","Ne, dìkuju. Nedám si nic. ",0,What will you have? ,Co si dáš/dáte? ,0
Thank you,Dìkuji,0,Can I ask a question? ,Mùu se na nìco zeptat?  ,0,Pass the salt ,Podat sùl ,0,bake ,péct ,0,I would like to order,Chci si objednat. ,0,Does it taste good? ,Chutná ti/vám?  ,0
You're welcome,Není zaè. ,0,Do you have any questions? ,Chceš/chcete se na nìco zeptat?,0,chicken ,kuøe ,0,The woman baked a cake ,ena pekla dort ,0,I will pay,Zaplatím. ,0,,,
No,Ne,0,Do you need anything? ,Potøebuješ/potøebujete nìco? ,0,chicken soup ,kuøecí polévka ,0,grill ,grilovat ,0,We will pay together,Zaplatíme dohromady. ,0,,,
Excuse me,Promiòte ,0,Can I invite you for dinner? ,Mùu tì/vás pozvat na veèeøi? ,0,cake ,dort ,0,prepare ,pøipravovat ,0,We will pay separately,Zaplatíme zvláš. ,0,,,
